Timestamp,Air Temperature (°C),Leaf Temperature (°C),Humidity (%),Air VPD (kPa),Leaf VPD (kPa)
2025-02-15 12:06:53,20.2,19.0,47,1.25,1.08
2025-02-15 12:07:03,20.2,19.0,47,1.25,1.08
2025-02-15 12:07:13,20.2,19.0,47,1.25,1.08
2025-02-15 12:07:23,20.2,19.0,47,1.25,1.08
2025-02-15 12:07:33,20.2,19.0,47,1.25,1.08
2025-02-15 12:07:44,20.2,19.0,47,1.25,1.08
2025-02-15 12:07:54,20.2,19.0,47,1.25,1.08
2025-02-15 12:08:04,20.2,19.0,47,1.25,1.08
2025-02-15 12:08:14,20.2,19.0,47,1.25,1.08
2025-02-15 12:08:24,20.2,19.0,47,1.25,1.08
2025-02-15 12:08:34,20.2,19.0,47,1.25,1.08
2025-02-15 12:08:44,20.2,19.0,47,1.25,1.08
2025-02-15 12:08:54,20.2,19.0,47,1.25,1.08
2025-02-15 12:09:05,20.2,19.0,47,1.25,1.08
2025-02-15 12:09:15,20.2,19.0,47,1.25,1.08
2025-02-15 12:09:25,20.2,19.0,47,1.25,1.08
2025-02-15 12:09:35,20.2,19.0,47,1.25,1.08
2025-02-15 12:09:45,20.2,19.0,47,1.25,1.08
2025-02-15 12:09:55,20.2,19.0,47,1.25,1.08
2025-02-15 12:10:05,20.2,19.0,47,1.25,1.08
2025-02-15 12:10:15,20.2,19.0,47,1.25,1.08
2025-02-15 12:10:26,20.2,19.0,47,1.25,1.08
2025-02-15 12:10:36,20.2,19.0,47,1.25,1.08
2025-02-15 12:10:46,20.2,19.0,47,1.25,1.08
2025-02-15 12:10:56,20.2,19.0,47,1.25,1.08
2025-02-15 12:11:06,20.2,19.0,47,1.25,1.08
2025-02-15 12:11:16,20.2,19.0,47,1.25,1.08
2025-02-15 12:11:26,20.2,19.0,47,1.25,1.08
2025-02-15 12:11:36,20.2,19.0,47,1.25,1.08
2025-02-15 12:11:47,20.2,19.0,47,1.25,1.08
2025-02-15 12:11:57,20.2,19.0,47,1.25,1.08
2025-02-15 12:12:07,20.2,19.0,47,1.25,1.08
2025-02-15 12:12:17,20.2,19.0,47,1.25,1.08
2025-02-15 12:12:27,20.2,19.0,47,1.25,1.08
2025-02-15 12:12:37,20.2,19.0,47,1.25,1.08
2025-02-15 12:12:47,20.2,19.0,47,1.25,1.08
2025-02-15 12:12:58,20.2,19.0,47,1.25,1.08
2025-02-15 12:13:08,20.2,19.0,47,1.25,1.08
2025-02-15 12:13:18,20.2,19.0,47,1.25,1.08
2025-02-15 12:13:28,20.2,19.0,47,1.25,1.08
2025-02-15 12:13:38,20.2,19.0,47,1.25,1.08
2025-02-15 12:13:48,20.2,19.0,47,1.25,1.08
2025-02-15 12:13:58,20.2,19.0,47,1.25,1.08
2025-02-15 12:14:08,20.2,19.0,47,1.25,1.08
2025-02-15 12:14:19,20.2,19.0,47,1.25,1.08
2025-02-15 12:14:29,20.2,19.0,47,1.25,1.08
2025-02-15 12:14:39,20.2,19.0,47,1.25,1.08
2025-02-15 12:14:49,20.2,19.0,47,1.25,1.08
2025-02-15 12:14:59,20.2,19.0,47,1.25,1.08
2025-02-15 12:15:09,20.2,19.0,47,1.25,1.08
2025-02-15 12:15:19,20.2,19.0,47,1.25,1.08
2025-02-15 12:15:30,20.2,19.0,47,1.25,1.08
2025-02-15 12:15:40,20.2,19.0,47,1.25,1.08
2025-02-15 12:15:50,20.2,19.0,47,1.25,1.08
2025-02-15 12:16:00,20.2,19.0,47,1.25,1.08
2025-02-15 12:16:10,20.2,19.0,47,1.25,1.08
2025-02-15 12:16:20,20.2,19.0,47,1.25,1.08
